Date,Name,Views,Downloads,Browser Plays
2024-05-26,Maddie Rush,6,0,2
2024-05-26,Defiant Strife,1,0,0
2024-05-27,Defiant Strife,1,0,1
2024-05-28,Defiant Strife,3,0,1
2024-05-31,Defiant Strife,2,0,0
2024-06-01,Defiant Strife,1,0,1
2024-06-03,Defiant Strife,2,0,0
2024-06-04,Defiant Strife,3,0,0
2024-06-05,Defiant Strife,2,0,1
2024-06-08,Maddie Rush,1,0,1
2024-06-08,Defiant Strife,1,0,0
2024-06-10,Defiant Strife,9,0,7
2024-06-11,Defiant Strife,5,0,3
2024-06-12,Defiant Strife,1,0,1
2024-06-13,Defiant Strife,10,0,8
2024-06-15,Defiant Strife,1,0,1
2024-06-16,Erutnevda,1,0,0
2024-06-17,Defiant Strife,81,0,43
2024-06-18,Sawtooth Skeededle,1,0,0
2024-06-18,Escape Dragon,1,0,1
2024-06-18,Maddie Rush,3,0,0
2024-06-18,Defiant Strife,7,0,2
2024-06-18,Erutnevda,1,0,1
2024-06-19,Escape Dragon,1,1,0
2024-06-19,Defiant Strife,2,0,1
2024-06-20,Defiant Strife,5,0,4
2024-06-22,Defiant Strife,1,0,0
2024-06-23,Defiant Strife,1,0,1
2024-06-24,Maddie Rush,1,0,0
2024-06-24,Defiant Strife,1,0,0
2024-06-04,Maddie Rush,0,0,1
